"Step","episodes_avail: 32 - normalized_score","episodes_avail: 32 - normalized_score__MIN","episodes_avail: 32 - normalized_score__MAX","episodes_avail: 64 - normalized_score","episodes_avail: 64 - normalized_score__MIN","episodes_avail: 64 - normalized_score__MAX","episodes_avail: 128 - normalized_score","episodes_avail: 128 - normalized_score__MIN","episodes_avail: 128 - normalized_score__MAX","episodes_avail: 256 - normalized_score","episodes_avail: 256 - normalized_score__MIN","episodes_avail: 256 - normalized_score__MAX","episodes_avail: 512 - normalized_score","episodes_avail: 512 - normalized_score__MIN","episodes_avail: 512 - normalized_score__MAX","episodes_avail: 1024 - normalized_score","episodes_avail: 1024 - normalized_score__MIN","episodes_avail: 1024 - normalized_score__MAX","episodes_avail: 2048 - normalized_score","episodes_avail: 2048 - normalized_score__MIN","episodes_avail: 2048 - normalized_score__MAX","episodes_avail: 4096 - normalized_score","episodes_avail: 4096 - normalized_score__MIN","episodes_avail: 4096 - normalized_score__MAX","episodes_avail: 8192 - normalized_score","episodes_avail: 8192 - normalized_score__MIN","episodes_avail: 8192 - normalized_score__MAX","episodes_avail: 16384 - normalized_score","episodes_avail: 16384 - normalized_score__MIN","episodes_avail: 16384 - normalized_score__MAX","episodes_avail: 32768 - normalized_score","episodes_avail: 32768 - normalized_score__MIN","episodes_avail: 32768 - normalized_score__MAX","episodes_avail: 65536 - normalized_score","episodes_avail: 65536 - normalized_score__MIN","episodes_avail: 65536 - normalized_score__MAX","episodes_avail: 131072 - normalized_score","episodes_avail: 131072 - normalized_score__MIN","episodes_avail: 131072 - normalized_score__MAX"
"500","30.547704816178886","28.680484723949384","32.33155367541979","30.144868938645235","27.620916865332912","32.991677960255686","36.41415536050568","34.26013749169323","38.10048540798924","48.293204657858986","45.67603185172044","50.20492142909354","44.40982079717753","41.31366463210539","48.25806143566497","34.23937106995341","31.680885957074327","36.57883594564484","10.03432425527401","6.335311610917957","13.496742954500249","0.6119481253202369","-3.318767127326108","3.1064244199838096","2.346713331065202","-0.2619667107424851","5.241185759402232","1.5455313140039912","0.5527160431810405","2.358126592406694","0.32816686869053585","-1.4165232380286046","1.9385661428999854","1.9515581566240217","-0.476573665437863","4.008399378176551","2.5184876058566448","1.0437561368519377","4.194602609719103"
"1000","27.195496742460815","25.555694199184714","29.581526696149517","27.023872588023465","25.538871103708978","28.290520711583316","25.68503761714473","22.782554146071053","28.60305514114424","40.07673884277313","38.838613069906216","41.736795305581445","54.28240185088791","51.69163777505352","55.761898900861816","56.31547373183613","55.34894724798719","57.487430716668","51.174356272823815","49.6172547539476","52.650812974060166","49.8208099548745","45.68795263391654","55.05930815891033","43.20940865935407","41.33525126107232","46.79709945392678","41.314631786577564","38.41404960015393","44.6045430227652","40.55991258052316","36.27141288418404","44.225801441624014","41.382457070989055","35.5976434301914","46.265820862200755","40.77735344507616","38.82910801183166","41.80469344093459"
"1500","28.485303457517443","26.63862751022948","30.942996423459334","23.267077729163887","21.201451906185373","25.408344151490247","21.290904787687268","15.757347097484153","27.12846871247815","36.46174571405696","33.44141253844427","41.01435816959215","45.83538941926588","43.83266028953598","48.09346832895428","61.297311261174954","58.82061587054004","65.20829331595435","59.80700405170663","58.72582869880457","61.06814757609813","60.721230037370475","58.043367235346885","62.961629016159605","56.64638672663941","53.531728405337475","58.805048740824574","50.37324343927845","44.07646157356615","55.48754362191776","52.66180648036846","48.6242449658667","56.36686146436304","49.05595516723492","45.582516825070655","53.07470252254996","49.47517006690126","43.6447855825661","55.65207570032148"
"2000","26.81045133614566","23.65191768696978","28.228712748340783","24.000265545757983","20.280389411286045","28.30460414099796","19.265517528954522","15.524177994052305","23.069926401091795","33.43430908208173","30.687891506428382","35.56476709407566","38.939395611448425","36.863661637839265","41.564046731612","54.96590144374356","52.50744372886261","57.67753488179487","63.456117648166966","62.82035180125411","64.14418950344346","65.86130600948948","64.0574134808695","68.52559628314668","63.67139466104906","61.14773953732817","65.62383522347247","59.36029789822989","57.827840527962096","61.626461779640316","61.29423908516867","57.526132140882446","64.42939184987465","59.708922598232384","57.844628415156365","60.959347200804395","61.0533123519002","58.64394848894814","64.74188503098613"
"2500","27.71222765208231","26.850782511338227","28.986389947658715","26.08829875643163","24.663883538974662","27.831210014708084","21.25947793684739","17.059707510876727","24.297394598752323","30.1625457169034","27.242347650437043","32.93216101525477","37.45090950073754","33.40273883877502","41.41662448081399","50.53944117508404","49.574472413592424","51.387993318664","63.25345872854123","62.313728881249105","64.45633529919711","67.67411616543939","64.86272931717258","70.31430538964271","66.1724776369282","64.94056556974283","67.35974748504681","65.17280784443386","61.54309100981793","68.03556147783033","63.287050057364006","60.50838749032618","68.19864505999826","65.35161221383996","64.32341682167574","66.7994955112889","64.66237411426171","63.381853270698485","66.72056347924534"
"3000","26.29297881014096","24.730955213708462","28.648732796961607","22.41915627525737","18.784381561158018","24.263833382657722","18.970262349384427","16.013517440055402","22.94061756517737","30.624256501532678","27.901686831885637","32.88304660900955","35.72757542924931","32.17784956029745","40.46382388467141","46.75934131529357","44.588297054428935","48.61708573060162","60.47833095291748","59.41560688211982","62.65339311773291","67.24312870731464","65.35930210232466","68.49199364333657","67.313154673589","65.46173188256103","68.64702432579122","64.56253292734624","61.333167788077134","66.88070526055706","66.6160997941038","65.11768807435419","67.84137122120755","63.76151154676484","62.67088077112339","64.87436437629948","65.35486596084218","64.47196128202833","66.10466938889662"
"3500","27.73949475859265","25.528144499831896","29.783928492433663","24.58171196610492","20.65349971331158","28.85840575543974","19.696326517095876","18.102399208630157","20.44113540816733","28.18830551143772","27.231041942857903","29.437654714419953","29.668158196868013","24.337878874255445","35.39245023558431","44.122677371613236","41.81998169387789","46.9091121383514","57.588709715285695","55.34493584392738","60.54742843818774","67.32233368409717","63.61251665681616","69.71150378864324","66.62465920570595","65.731553840086","67.77526588298112","67.23084721129715","65.86898854046724","68.51419529989217","67.88775278445193","66.89050748560881","70.29255782139872","65.13181947511063","63.59639109726412","66.34736094530572","66.13922185447382","64.57716360189977","66.93234195398998"
"4000","26.712029065207314","24.470805653194834","30.07737142671958","22.631642382726803","21.389960108851067","24.22952953258677","19.854272178462132","19.09492629866235","20.711363559189465","28.11124162325794","26.748026617315755","30.82386952286838","32.08608219652767","29.6499211223977","33.48821532481202","44.40380731698697","43.173207541917705","45.863098258198185","56.024641444658535","52.99641066832399","58.24379771076931","66.59326283487157","64.88937311359642","67.95404585317935","67.88712027444181","65.78417792839677","69.45130517818593","67.6481561300258","65.02772214980791","69.13545589815503","68.628372623832","67.24484862892204","70.24347431079102","66.96041874547075","65.24782751133145","69.04162618451703","68.91910941033865","66.6295968064622","70.43164710074598"
"4500","28.236141922559028","24.62068917024616","32.33408040656311","24.156091765140598","22.378583249828523","26.491898486701597","19.658679909397648","16.421816862134435","20.87165100299319","29.795432573290704","25.65843736800244","31.448008238723002","31.79701522778106","27.74891059908981","34.694200161965824","42.274123535930556","39.41443773586574","43.80223730233088","54.68149409148816","51.88863634811058","57.522847879146255","67.58039286022068","66.73165621424735","68.11459983907461","68.14499478385603","66.40564098654497","68.80699631276366","65.43215787417836","64.61765428759647","66.75345903788451","67.64412151924459","65.81355824899259","69.03940499217967","65.71243751137584","62.88900729383736","68.01508976702252","66.62493892000798","62.82270085187236","70.01132325459203"
"5000","25.987590743096792","23.69592761102269","29.46086497225457","20.49849870882758","19.97221530451113","21.260063882912583","19.9926851453178","14.948953018072888","23.52874064073985","30.306803661507303","26.717642455758483","32.91310907711312","29.407986846499362","26.60868819778683","30.603564280656315","42.17504746124014","40.854308302875594","45.54516912044347","53.33001660181997","52.31489190272735","55.03098093432366","64.65057659384988","62.821726772630335","66.0258959154037","67.98090658773489","67.21769681752241","68.79481640084364","67.44113243081944","65.62926224196778","72.06127175247944","67.68281023210224","66.38304174315091","69.9544950213466","66.863547408088","65.14124118325181","67.99918779114418","67.62736188330804","66.46615813659146","68.4257712841469"
"5500","26.802625431658253","25.916052930958024","27.217951673512257","22.833974357943504","20.997664716022463","26.31610673420031","22.67248302942792","16.43072929116019","28.15863462943306","24.638224233078315","21.05846635316184","29.132995540589736","30.495115953558845","27.494660218858602","34.44678705846996","39.910659748453305","37.7711311577505","42.79971788101608","52.1598611281383","50.09463871574313","54.86767672815436","64.15294988718465","63.23644121262749","65.89011787272601","68.12825755474648","67.05315222159587","69.9359998033114","68.47041674251108","66.25145888739839","71.3629218278267","68.16861790814296","65.90902371299026","69.92737564684653","66.90673542918951","65.97424060660214","69.19482871671039","67.95495257739694","67.48638412434028","68.49266843165853"
"6000","23.993783885057617","23.10746291686088","25.314755745836987","24.205522242942198","22.61634262799861","26.38465696576547","22.745284138099542","21.117070646301183","23.90334844344632","28.742850092174592","27.1283337233368","31.153892951627803","30.346789172154892","29.49242988582062","31.504249599264018","41.116088557922","39.3291679507673","43.18440642349435","49.848553084114236","46.11795603260854","53.074433643181585","64.7871390327258","63.81860346659586","65.76865142460565","68.4043932988107","66.38998881981092","70.69970992318349","66.38430631456829","63.30136369149211","68.72109027328682","68.49389509024307","66.12351311312426","70.96534526907476","67.47256263991679","66.15816283085074","68.58820986135595","67.69117628039871","64.5214652814951","69.79633369188453"
"6500","26.073091279247528","19.607439297140502","31.155175424410743","22.3741537127518","19.972725582798656","25.876236330443135","21.698408985578496","20.560564838663275","22.4774316833427","29.683848682586017","27.038808800074392","32.6098000678057","31.434390755543042","29.457024802169983","33.649476951621374","37.865477253127914","35.29167036189511","39.21951607284452","49.78878999035844","46.233507022060536","53.26341933350264","63.50615879389463","61.8088637156301","65.01363564849353","69.12054979063576","68.87307446587582","69.3333591973844","68.80678603032803","66.79769562814052","70.14448156870364","67.42314368481972","66.04514884202092","68.67450347772122","68.00393597338594","67.09871692523251","68.48542410768903","68.11993759777657","67.08972630588144","69.543198245446"
"7000","26.99047963497654","24.058076803359313","28.80241890303587","23.48073177525037","21.135034453585046","26.59614774863947","21.431920098556507","19.934102552562212","23.43079684938679","28.176211321780084","26.107175289058343","31.67083145794445","31.161774776798275","28.435798267038702","34.745472922300955","38.69303172380185","34.394528901733565","41.06908490262802","50.58565490763757","48.78881756801803","51.75822997306938","64.03630554257244","60.9496230082028","66.95447516359746","68.20937947530422","66.55526554161756","69.25051257735295","69.18911452083503","68.53663763971399","70.12768685884684","69.46934452922335","67.73507972991338","70.51566770110783","67.89815829425663","66.65295124868571","69.6818598788735","68.98318473373276","68.63722693278109","69.45407793494228"
"7500","26.98061166797558","21.510038593136844","30.37136058265692","21.287559699919818","18.452778090478603","23.290670629630533","21.912494598846934","17.99316031933093","24.60549375487969","31.394609400046207","30.514982867923095","33.462095034985275","29.04246071299461","24.01472878439121","32.72220551650232","38.168311006239726","32.130431911929506","42.96962937965589","48.0349937689246","45.31176354677356","49.813034142905025","61.31239489253413","60.08753954715053","62.81963622160245","69.6775577436739","68.26561467751155","71.09104982788392","68.31347196440208","66.36621183653904","69.75006825122883","69.52201674073889","68.78011213566886","70.15508264243441","68.69252292132671","66.17807935208285","70.66627398570397","69.22335453097887","68.53074953259159","70.25829070526578"
"8000","27.434963395860848","24.434927098957626","29.65838134794254","23.621441224031248","23.391298683408426","23.98364773834866","21.074504948744497","18.852930791047985","22.206083757260934","28.57209948598686","27.19607054432414","30.49580705601138","28.99598195437787","27.68609984946812","30.31080790806818","38.1203151078149","33.55027063749317","43.368139214099564","47.08990999783624","45.46323775713863","48.735606045110366","60.707775415811376","58.98810492599432","62.092785167990314","69.43705207477659","67.01379109095093","71.15677506609306","70.24492550103905","69.28569184037603","71.44725561131654","69.28263328432126","66.84339557531356","71.08312421278963","69.38723803876593","68.42909440697395","71.57897538610561","68.42779945650665","65.09788044897529","70.43279891413154"
"8500","26.763308090399512","25.403778768545433","28.868358603464344","22.799921139660864","19.579268549981492","26.337943920981736","22.488694880761415","20.223174494460615","24.137078605224247","29.213645776014268","27.035207980254473","32.046169380251094","29.495537436301127","22.263615132559227","34.22575233263919","36.37106468064039","33.434442427341175","39.91658079274135","46.69173059965623","45.73942105423121","47.924472295747265","60.09970931401102","56.80076667766873","63.70652042343221","67.36925029531545","62.77915151764113","72.28690483260391","70.64774615368628","69.7345959282112","71.21265063952413","68.84569728406352","67.3222626872891","70.24956177290099","68.40293055427041","66.2383702629489","70.61420379945157","69.58098575588951","68.64239798852118","70.5431573783699"
"9000","26.26228714576449","22.774939001253504","28.91804952983926","22.21112795895219","19.994676964528566","24.189832560203378","25.361899237415273","23.378314009775565","27.393467389515425","30.634225919740167","28.93898073479945","32.67092421107885","29.747148476563307","28.225445096113592","30.927224693726295","36.15549045716672","35.52821920168901","36.894506931070445","45.4725273405563","44.01880863276319","47.41122506440702","57.446645918076506","55.5614103735352","58.7692364185473","68.13163106995259","65.79326445774906","69.9277023479649","69.5145591610038","68.32062026728542","70.43801426299972","69.89897403554647","68.3457104759488","71.09732714349957","70.10733312545219","68.71585623764409","70.91715918031475","68.27399519203493","65.4613556401648","70.72751065751974"
"9500","28.663017634612117","26.7567275030535","32.33238583399525","21.443765420652955","16.54967338566551","23.87588600238279","22.407298706893258","20.509333428619794","25.228223849595388","28.966063602849005","26.392235012578602","32.24989007886702","29.339390884974193","27.74992587862457","30.231213156652302","38.372293416827006","36.55653342091371","41.28751961288323","44.08712420023641","42.19766415915359","44.83215380379263","56.202460482555125","52.710172333041086","60.857302112446646","67.75970478406487","66.85016413846397","68.42251664824771","69.09926772447618","67.42960351669016","70.66995048604421","68.55944802530689","67.83190531600154","69.52677869752235","69.12922016863105","66.05291829367343","72.20980307679723","68.45999261938823","66.51547226543337","70.21630172398652"
"10000","29.41279456873712","24.939549345693678","34.06641338628818","19.347996075508767","17.15249273887122","20.755997498106403","21.76568799559619","17.525452202481876","24.828846167304206","27.57715880117292","23.5054093717073","32.31969321584976","31.095846222336814","30.094022963386735","33.213540833747416","34.355872980284786","31.99260644630076","36.47941071760597","42.99273904757077","38.980686888753006","47.15679468344862","58.36210253705553","57.17189779397464","59.13459219465062","66.43432984496175","65.38689804486374","67.1896573780138","70.40699990220533","69.26194726602913","71.41860660279838","70.37767640224831","67.62612473474027","72.11864334189211","69.89803722375584","67.53122029711396","71.22870017117268","68.64206862487595","66.60094131428511","69.88812183622125"
"10500","29.387581659398563","25.244367990069726","33.0894317903922","23.153453197703495","22.906503123704447","23.492292849599963","23.924406627181618","18.771238669987024","26.316784147187082","29.886050792019805","29.163629091115943","30.800819604098926","29.56863801487649","28.332785558267815","31.066686315464203","35.29378460595403","33.48141431810508","37.53188190478712","44.985615785680736","43.378827706694025","47.17468372143303","58.12339337245696","56.59969160869983","59.26905484035818","67.14956256579296","65.89546790205425","69.63541177448673","70.27467869820339","69.28482516462827","72.57367152174558","70.74177089344101","69.87984778552672","71.23507674926131","69.51517529406317","66.62643262357567","71.83254803072273","70.33424105665523","68.71249519492676","72.25433505223891"
"11000","26.928214532574962","20.968784079078713","30.010085509040575","23.941655145543933","23.302717815465186","24.20669525429746","22.17116691205574","19.992935851251133","24.219698676634867","29.84472806925193","28.092685507828367","31.4201937588092","28.8704962375016","25.33895030148845","33.47083775445148","32.532920457599346","30.22065210747908","35.24190404910968","45.016640506154914","43.33976089252723","48.32724444676332","56.69064536511249","54.822473348490355","58.133185038119294","66.8979475913386","64.22646778960313","69.09309787108356","70.022921065313","68.75451157436778","72.57486398456095","71.64764123772429","69.93675326160499","74.97320549905629","69.71316703491755","66.76327504307257","72.43760562712866","71.22133967735324","69.9253872882144","72.7382234667942"
"11500","27.35877489208029","26.86294466000369","28.109415411125703","23.377499746217808","20.794164125963814","28.059433060170967","23.769029562401045","22.823313558311884","25.908150584904483","31.274011614300044","27.57626706407395","34.504424917309315","28.12147006405123","24.997904442938715","31.682057116575628","35.05783253741188","31.5123818420694","36.72627883346191","42.78519085662206","37.964318762876545","48.28002398124537","55.13377456788488","54.18660478881115","56.33809404651636","67.81959786417632","65.77431252831201","68.87587135226293","70.19773633322934","68.67933965070699","71.72277672414778","71.46223026396072","69.41841172316566","73.21876488888631","71.23244532137477","69.76223174044651","73.57631032696865","71.66698740856836","70.61420399057965","72.42291388457713"
"12000","28.54551153177071","24.49006901783082","31.6955925028132","20.976463079741123","16.062278737524572","24.490698657403247","24.23603346342303","21.653442139743674","25.999016192672048","28.462486717998036","25.533205370714075","31.215792740333338","27.475437584826537","24.228798544111154","30.62895431110853","33.166800374477766","32.23107760014805","35.37164918270839","42.96997449234157","40.651980821442464","46.02260866381558","55.17531660460922","53.4403631183864","56.706817702625955","66.28646956473199","64.54597728766394","68.06252417326712","70.34232541178085","69.0477888627665","71.57581605871196","70.43570424425714","68.88447970070204","72.89606616748013","68.77697023604631","67.6362893610312","71.0715007229205","70.2444230560829","67.90076040134599","71.77914940372487"
